Era,Count
唐天宝十年,4
东魏元象元年,1
北魏正光,1
北齐武平四年,2
唐开元十一年,3
北周保定三年,1
北魏太和十四年,1
唐广德二年,1
北齐天保十年,3
唐天宝五年,1
北齐武平六年,4
北齐河清元年,2
隋开皇二十年,1
隋大业二年,3
唐显庆二年,3
北齐太宁二年,3
唐*,14
东魏兴和元年,2
东魏天平三年,1
*汉*,1
三国（吴）,1
北魏永安元年,1
1946年,1
西周,1188
魏晋,655
新石器时代齐家文化,3
新石器时代-夏,40
春秋,708
清康熙五十四年,51
明嘉靖丁己年,4
明嘉靖壬寅年,4
清乾隆二十九年,85
清乾隆十三年,46
清康熙五十二年,101
清康熙五十三年,18
清康熙五十五年,44
17-18世纪 莫卧儿王朝,3
隋唐,3
清御用,1
明天启五年,1
清宣统二年,24
清道光十七年,1
唐至德,1
辽金,31
清代,13025
晚清,37
明末期,15
战国末期,1
*宋*,4
新石器时代——夏,2
旧石器时代,44
新石器时代至夏,2
20世纪上半纪,1
新石器时代-商,1
元初,2
新石器时代良渚文化,1
新石器时代至夏时期齐家文化,1
新石器时代*,1
清顺治十四年,23
明崇祯十五年,1
宋绍兴二年,1
清嘉庆巳未,1
清顺治十五年,4
清康熙三年,8
清顺治三年,6
清康熙十九年,7
清康熙二十四年,6
清光绪年制,1
明永乐十九年,1
明洪武十二年,1
明万历三十年,1
明弘治九年,1
其它,1
清末民初,1
三国魏,75
战国·齐,58
战国·楚,91
战国·燕,101
新莽,192
战国·赵,12
战国·魏,5
战国·韩,4
战国·秦,26
战国·三晋,1
东晋十六国,2
西秦,2
西夏,243
清道光二十八年,1
北元,1
近现代（1840—1949）,147
西魏,1
东汉熹平七年,1
三国魏正始,1
清康熙乙卯年,67
元明,43
清弘治,1
民国十七年,1
民国三十年,3
民国二十二年,2
元至正九年八月,1
晚唐,5
民,1
后晋,1
北魏·武定5年,1
后唐·长兴3年,1
后汉·乾佑3年,1
战国·齐国,1293
战国·邹国,356
战国·燕国,210
元*,7
隋·大业元年,1
高昌,10
战国,11
西汉　,2
唐·贞元9年,1
郑·开明2年,1
乾隆三十五年,1
五代后汉·乾祐元年,1
清乾隆壬子年,43
清乾隆辛卯年,1316
清乾隆丙申年,20
明万历甲辰年,9
清同治甲子年,28
清康熙六十年,3
清宣统三年,3
清乾隆丁巳年,1344
清乾隆辛丑年,12
清康熙丁亥年,49
明万历丁未年,1
民国二十四年,1
清乾隆甲寅年,1
民国三年,3
清道光二年,16
清道光丁亥年,7
清乾隆癸未年,1
清同治五年,3
清康熙乙酉年,4
民国二十一年,1
清嘉庆丁丑年,11
清雍正三年,2
清后期,65
明崇祯五年,1
东晋永和元年,1
东汉建安十五年,2
宋熙宁三年,1
东汉永宁元年,1
清咸丰十年,8
清乾隆甲子年,83
清光绪九年,18
清嘉道时期,42
清乾嘉时期,1
清嘉庆甲子年,28
清光绪十二年,19
清光绪丁酉年,4
清嘉庆庚午年,27
清道光癸巳年,17
清嘉庆己巳年,3
（传）宋,2
明万历壬寅年,4
清康熙己酉年,14
宋元符三年,2
晋永嘉二年,2
汉元嘉,2
东汉元嘉元年,1
三国魏正始二年,4
后梁开平二年,1
后梁开平四年,2
高昌延昌十三年,5
高昌延昌十五年,1
高昌延昌十七年,2
高昌延昌十九年,2
高昌延昌二十一年,3
南朝宋元嘉二十年,11
晋元康五年,1
西晋元康元年,1
西晋太康,3
西晋元康九年,2
西晋元康七年,2
西晋元康八年,2
北宋开宝三年,1
北宋熙宁,1
金大定十九年,1
明正统六年,3
金大定十七年,1
金大定十年,1
明万历三十六年,1
高昌建昌元年,1
东魏天平元年,1
明弘治十三年,1
高昌延昌二十二年,2
高昌延昌二十四年,1
